Time,Demand
2026-04-27 05:00:00 PM,341.7387273
2026-04-27 06:00:00 PM,337.244
2026-04-27 07:00:00 PM,376.2698182
2026-04-27 08:00:00 PM,362.7105455
2026-04-27 09:00:00 PM,355.7378182
2026-04-27 10:00:00 PM,344.3776364
2026-04-27 11:00:00 PM,334.9054545
2026-04-28 12:00:00 AM,335.51
2026-04-28 01:00:00 AM,323.82
2026-04-28 02:00:00 AM,319.01
2026-04-28 03:00:00 AM,312.77
2026-04-28 04:00:00 AM,306.98
2026-04-28 05:00:00 AM,306.48
2026-04-28 06:00:00 AM,313.62
2026-04-28 07:00:00 AM,330.32
2026-04-28 08:00:00 AM,344.46
2026-04-28 09:00:00 AM,360.57
2026-04-28 10:00:00 AM,358.38
2026-04-28 11:00:00 AM,373.79
2026-04-28 12:00:00 PM,401.3
2026-04-28 01:00:00 PM,413.68
2026-04-28 02:00:00 PM,386.37
2026-04-28 03:00:00 PM,381.6057895
2026-04-28 04:00:00 PM,373.0973684
2026-04-28 05:00:00 PM,353.7205263
2026-04-28 06:00:00 PM,342.0964912
2026-04-28 07:00:00 PM,375.4677193
2026-04-28 08:00:00 PM,373.8840351
2026-04-28 09:00:00 PM,365.0340351
2026-04-28 10:00:00 PM,355.6627273
2026-04-28 11:00:00 PM,350.6937736
2026-04-29 12:00:00 AM,334.67
2026-04-29 01:00:00 AM,325.53
2026-04-29 02:00:00 AM,314.33
2026-04-29 03:00:00 AM,312.23
2026-04-29 04:00:00 AM,302.66
2026-04-29 05:00:00 AM,296.07
2026-04-29 06:00:00 AM,290.44
2026-04-29 07:00:00 AM,288.09
2026-04-29 08:00:00 AM,310.12
2026-04-29 09:00:00 AM,326.62
2026-04-29 10:00:00 AM,328.6808621
2026-04-29 11:00:00 AM,336.3101724
2026-04-29 12:00:00 PM,363.2874138
2026-04-29 01:00:00 PM,378.6782759
2026-04-29 02:00:00 PM,348.812069
2026-04-29 03:00:00 PM,321.8551724
